,timestamp,open,high,low,close,adjusted close,volume,dividend amount
2,2022-03-31,54.3,55.0,37.92,46.42,46.42,128363819,0.0
3,2022-02-28,62.705,63.0,53.31,53.79,53.79,87641032,0.0
4,2022-01-31,58.11,62.94,54.72,62.54,62.54,115114978,1.5528
5,2021-12-31,60.34,61.09,54.38,58.3,56.7683,99410176,0.0
6,2021-11-30,60.2,65.05,57.87,58.45,56.9143,163517968,0.0
7,2021-10-29,59.55,66.04,56.89,60.79,59.1929,113766858,0.0
8,2021-09-30,62.97,67.67,56.06,59.77,58.1997,123115538,0.0
9,2021-08-31,61.15,62.9,53.47,61.66,60.04,172756378,0.0
10,2021-07-30,75.3,75.4,55.77,61.2,59.5921,133252645,0.0
11,2021-06-30,80.81,81.35,73.82,75.3,73.3216,42398196,0.0
12,2021-05-28,80.15,81.05,73.23,78.38,76.3207,45355135,0.206
13,2021-04-30,83.85,84.98,76.44,79.66,77.3535,65108686,0.0
14,2021-03-31,89.87,92.75,76.6,79.8,77.4894,73950292,0.0
15,2021-02-26,91.66,99.4,71.89,86.77,84.2576,44504902,0.0
16,2021-01-29,73.88,98.19,71.79,89.31,86.7241,75398471,0.0
17,2020-12-31,74.75,76.93,67.13,71.89,69.8085,52369561,0.0
18,2020-11-30,78.38,81.35,71.26,73.0,70.8863,81521561,0.0
19,2020-10-30,68.5,78.85,67.05,76.34,74.1296,60265957,0.0
20,2020-09-30,69.73,70.7,64.32,67.65,65.6912,59448814,0.0
21,2020-08-31,69.51,72.95,64.11,68.34,66.3613,71826133,0.0
22,2020-07-31,64.15,72.9,64.15,68.49,66.5069,73056207,0.0
23,2020-06-30,54.82,64.5,54.68,64.0,62.1469,70666019,0.0
24,2020-05-29,51.49,58.66,50.9,54.32,52.7472,95993036,0.1363
25,2020-04-30,48.01,54.2,46.98,52.62,50.9724,64462419,0.0
26,2020-03-31,49.65,51.95,40.8,49.09,47.5529,151759858,0.0
27,2020-02-28,48.76,53.75,48.16,49.65,48.0954,90875623,0.0
28,2020-01-31,49.2,52.51,46.26,47.91,46.4099,96744583,0.0
