,timestamp,open,high,low,close,adjusted close,volume,dividend amount
2,2022-03-31,62.97,68.25,59.94,62.91,62.91,8388436,0.0
3,2022-02-28,61.43,64.4799,60.85,63.57,63.57,6220953,0.0
4,2022-01-31,59.0,61.78,56.55,61.1,61.1,9658516,0.0
5,2021-12-31,56.0,61.373,55.16,58.37,58.37,8354739,0.0
6,2021-11-30,55.72,57.07,52.95,55.08,55.08,7598558,0.0
7,2021-10-29,54.78,57.49,53.39,55.25,55.25,9136635,0.0
8,2021-09-30,60.54,63.75,58.05,59.25,59.25,12083153,0.0
9,2021-08-31,65.12,65.49,56.72,60.08,60.08,12355595,0.0
10,2021-07-30,72.26,75.52,64.01,64.25,64.25,11076746,0.0
11,2021-06-30,75.9,78.89,70.61,72.53,72.53,5888947,0.0
12,2021-05-28,72.32,77.95,67.86,77.32,77.32,12415626,0.0
13,2021-04-30,71.04,76.01,70.01,71.89,71.89,7054958,0.0
14,2021-03-31,76.87,77.39,68.13,70.8,70.8,12882758,0.0
15,2021-02-26,76.05,82.0,72.71,77.12,77.12,10475934,0.0
16,2021-01-29,79.8,80.88,72.0,72.27,72.27,9044324,0.0
17,2020-12-31,68.61,82.55,67.0565,80.52,80.52,8305505,0.0
18,2020-11-30,68.38,73.75,61.61,70.95,70.95,17298240,0.0
19,2020-10-30,71.155,71.41,65.0,67.73,67.73,6209109,0.0
20,2020-09-30,69.22,72.82,66.02,70.9,70.9,15914477,0.0
21,2020-08-31,55.49,68.7,55.0,67.37,67.37,13318782,0.0
22,2020-07-31,55.58,60.0,54.72,55.01,55.01,3932876,0.0
23,2020-06-30,51.3,58.95,50.43,55.9,55.9,10004600,0.0
24,2020-05-29,51.82,54.84,50.5,50.84,50.84,6537516,0.0
25,2020-04-30,47.62,55.92,47.61,51.44,51.44,10585854,0.0
26,2020-03-31,42.01,48.75,35.82,48.28,48.28,9860322,0.0
27,2020-02-28,46.14,46.83,40.76,41.98,41.98,7314668,0.0
28,2020-01-31,50.68,50.82,45.75,45.9,45.9,5561072,0.0
